company,client,nb_avis_client,date_commande,notes,titre_commentaire,commentaire,date_commentaire,reponse_sav,date_reponse_sav,delai_reponse_sav
Sephora,Consumer,1,2022-02-07,1,Passage Séphora galerie Carrefour à Thionville,"Bonjour , Ma copine et moi sommes passés Samedi vers 17 h sur Thionville  et nous sommes arrêtés à la zone marchande de Carrefour .Je voulais lui offrir  un parfum pour la future St Valentin .Il y avait beaucoup de monde , et nous avons fini par le trouver .Nous sommes allés  le régler en caisse.La caissière était en train de nous expliquer les avantages de la carte de fidélité et une responsable arrive pour lui ordonner de faire des échantillons d'un ton sec et autoritaire en interrompant brutalement  notre échange   .Du coup nous avons refusé de créer la carte , avons réglé le parfum et nous étions mal pour la caissière souriante et professionnelle .La pratique commerciale du magasin est à revoir de fond en comble car les responsables se permettent d'interférer avec les clients.",2022-02-07,,,
Sephora,Marie S C,5,2020-12-15,1,Absolument aucun service clients.,"Absolument aucun service clients.J'y ai acheté un mascara Kat von D hier, comme n'importe quelle cliente, je l'ouvre en rentrant chez moi, la catastrophe.Il est entièrement sec, inutilisable, à 12 euro le mini mascara... Pas top.Je retourne au magasin ce jour avec le ticket de caisse, pour demander un échange produit, même pas un remboursement, et NON.  Pourquoi ? Parce que je l'ai ouvert, et la texture est soit disant normale.Je propose de prendre autre chose et payer la différence, toujours non.Donc si vous voulez acheter des produits de mauvaise qualité et vous faire arnaquer, allez y les yeux fermés, si par contre vous voulez un minimum de service clients qui fait son travail de commerçant n'y allez pas, gardez votre argent pour un autre magasin.",2020-12-15,,,
Sephora,Marie-Eve Doyon,20,2020-12-23,2,Je commande en ligne depuis la pandémie…,Je commande en ligne depuis la pandémie et je ne reçoit pas les échantillons du tout où je reçoit d'autres échantillons que je n'utiliserez pas.  C'est peut-être que des échantillons mais ça fait partie de la raison pour laquelle j'achète chez Sephora...déçu plusieurs fois,2020-12-23,,,
Sephora,Stephane Jeanmart,2,2022-11-29,1,J'ai commandé un parfum chez Séphora,"J'ai commandé un parfum chez Séphora le mois dernier et j'ai reçu une autre référence de parfum. J'ai dû téléphoner au service client qui m'a demandé une photo du dis parfum (je pourrais être incapable de reconnaitre un flacon de parfurm). La personne au service client reconnais l'erreur de Séphora et me dis : « De renvoyer le parfum. Que quand il sera reçu par Sephora je serai contacté pour savoir si je voulais être remboursé ou si je souhaitais recevoir le bon parfum.  Pour tous ces inconvénients avec Séphora, je reçois un bon d'achat de 5€. » Après le renvoie du parfum, j'ai été remboursé par Séphora qui bien sûr ne m'a pas contacté pour savoir ce que voulais recevoir la bonne commande contrairement au dire du service client. J'attends toujours un bon d'achat de 5€… Je recommande le même parfum et reçoit encore un mauvais parfum. Séphora, êtes-vous capable de tenir vos promesses? Il semble que non. Pouvez-vous livrer les bons parfums, il semble que non. Êtes-vous un fournisseur à absolument éviter à tout prix, il semble que oui!",2022-12-01,,,
Sephora,Huber,6,2019-10-08,1,2 semaines que j'attend ma commande ..,2 semaines que j'attend ma commande ... Service client injoignable ou me répettant la meme chose à savoir ma commande arrive ! Aucun geste commercial RIEN !,2019-10-08,,,
Sephora,stephanie,14,2019-06-08,1,ARNAQUE FUYEZ,"Je commandais sur ce site il y a plusieurs années tout était nickel et en lisant les avis négatifs ici je ne comprenais pas, j'ai malgré tout passé une commande...J'aurais dû vous écouter!Commande de 150 euros, en attente pendant trois jours et annulée sans aucune raison, charmant mail pour me dire ""la commande tombe à l'eau"" etc...Mon compte est dans les normes ainsi que ma carte et les produits que je voulais (oui je les voulais vraiment car pas dispo sur les autres sites) sont toujours bien disponibles...Donc j'enrage!!!Pourquoi refuser des commandes sans aucune explication???Vu que je suis loin d'être la seule, pourquoi une entreprise ne veut pas faire de bénéfice???On ne m'y reprendra pas j'irai en ville ou chez la concurrence...Fuyez!",2019-06-08,,,
Sephora,Melun,3,2016-01-13,2,Très déçue,"Très bonne cliente Sephora, j'ai commandé un rouge à lèvres (pas donné) que j'ai reçu cassé, cela fait plus de 2 semaines, aucune réponse du services clients, aucun dédommagement ! Déçue...",2016-01-13,,,
Sephora,Lise,4,2021-07-01,1,Bug tout le temps. C’est une perte du temps. Il faut aller au magasin,Leur site Bug tout le temps. C’est une perte du temps. Il faut aller au magasin,2021-07-01,,,
Sephora,Huygens,15,2013-05-27,4,Plutôt bien,"J'ai déjà commandé entre 7 et 8 fois sur le site et je trouve qu'il y a de l'amélioration depuis quelques temps avec un délai de livraison plus court. Mais pour moi il y a encore 1 ou 2 jours de trop au niveau de la préparation de commandes. Ma dernière commande par exemple: commandé le lundi, expédié le mercredi et reçu le vendredi. Pas mal.",2013-05-27,,,
Sephora,Kim Léveillé,3,2018-04-16,1,Système de point,"Système de point, c'est de l'argent! On l'a bien vu, airmiles n'a plu le droit de mettre une date d'expiration sur leur système de point... dans votre cas, votre système de sécurité par rapport au compte de point est ATROCE. Ma première visite chez sephora en 2011, une de vos caissières à tenté de me donner les points de quelqu'un d'autre! la fille avait le même nom que moi, mais je disais à la caissière non, ce n'est pas mon courriel. Malheureusement, j'ai été une victime cette fois en 2017! Je suis un compte sephora CANADIAN j'achète beaucoup, je suis rendue VIP ROUGE et une caissière mal entrainer a été donné MON COMPTE à quelqu'un au ARKANSAS. En novembre, cette fille a même changé mon courriel et mes informations! Ma carte de crédit est sur mon compte, réalisé vous l'impact que cela peu avoir?Cette personne utilise mes points depuis ce temps, j'ai contacté 939048239084 fois sephora à ce sujet et rien n'est fait, on me rembourse les points et c'est tout. Réalisé vous que je dois TOUJOURS vous contacté? Réalisé vous QUE J'AI MÊME changé mon nom de compte pour : CANADIAN ACCOUNT SEE ID avec mon nom ensuite. Les caissières lui donnent quand même accès à MON compte.Non, sephora n'a aucunement proposé de transféré mon compte. On m'a dit de refaire un compte alors que j'ai 2000 points et je suis rendu VIP ROUGE, leur solution est de me faire recommencé à 0, really sephora? Ridicule, pire service et pire système de point.Je ne suis pas certaine que c'est légitime. Nous achetons pour votre système de point et il n'est aucunement sécuritaire! bref, regarder souvent vos points mesdames.... qui sait à qui les caissières donneras votre compte!",2018-04-16,,,
Sephora,Saam_antha,3,2014-02-18,4,Bon magasins,"J'adore se magasin, malgré que as chaque fois que j'y vais un vigile me suit tout le temps dans le magasin. Alors je n'achète rien et je fait demis tours sans rien achetée. Dommage :/ ! (MAIS CE MAGASIN ET SUPERS ET DES SUPERS PRODUIT MÊME DANS LEURS MARQUE SEPHORA ♥.)",2014-02-18,,,
